翠岛花城兰芷苑,http://nj.lianjia.com/ershoufang/103100399563.html,宁南大三房 户型方正 生活便利,3室2厅,31881,425,133.31,低楼层/共6层,南,精装,2004,,雨花台,宁南,近1号线花神庙站
亲水湾花园,http://nj.lianjia.com/ershoufang/103100734947.html,满五年 无个税 精装修 楼层佳 岔路口 南站商圈,3室2厅,30132,310,102.88,中楼层/共8层,南 北,平层/精装,2009,,江宁,百家湖,近1号线河定桥站
东渡国际青年城,http://nj.lianjia.com/ershoufang/103101087460.html,东渡国际青年城 3室2厅 306万,3室2厅,27013,306,113.28,高楼层/共21层,南 北,毛坯,2011,,江宁,东山镇,近1号线竹山路站
尚景公寓,http://nj.lianjia.com/ershoufang/103100660968.html,交通方便，采光充足，小区环境优美,3室2厅,30850,200,64.83,中楼层/共11层,南,跃层/精装,2007,,江宁,科学园,近1号线竹山路站
金王府,http://nj.lianjia.com/ershoufang/103101139720.html,金王府 3室2厅 383万,3室2厅,31027,383,123.44,高楼层/共11层,南,平层/精装,2009,,江宁,百家湖,近1号线胜太路站
方圆绿茵,http://nj.lianjia.com/ershoufang/103100614633.html,迈皋桥 方圆绿茵 改善三房 交通便利,3室2厅,26893,315,117.13,高楼层/共6层,南,平层/精装,2004,,栖霞,迈皋桥,近1号线迈皋桥站
皇册家园三期,http://nj.lianjia.com/ershoufang/103101083168.html,皇册家园三期 3室2厅 470万,3室2厅,42911,470,109.53,高楼层/共11层,南 北,平层/简装,2011,,秦淮,来凤里,近1号线三山街站
东方龙湖湾,http://nj.lianjia.com/ershoufang/103100736370.html,距离交院地铁站650米，大三房原始格局，配套完善,3室2厅,24455,315,128.81,中楼层/共8层,西南,平层/毛坯,2008,,江宁,江宁大学城,近1号线南京交院站
水月秦淮,http://nj.lianjia.com/ershoufang/103101053720.html,水月秦淮 一期 交通便利 百家湖小学 视野开阔,2室2厅,27480,290,105.53,高楼层/共10层,南 北,平层/简装,2007,,江宁,百家湖,近1号线河定桥站
康桥公寓,http://nj.lianjia.com/ershoufang/103100721441.html,康桥公寓 满五 精装电梯房 生活便利,3室2厅,22146,258,116.5,中楼层/共8层,南,平层/精装,2007,,江宁,东山镇,近1号线天印大道站
同曦国际广场,http://nj.lianjia.com/ershoufang/103100568403.html,地铁房 楼层好 湖景房 业主诚售,2室2厅,26781,288,107.54,中楼层/共28层,南,平层/其他,2011,,江宁,百家湖,近1号线胜太路站
阅城国际花园悠然园,http://nj.lianjia.com/ershoufang/103100831863.html,三面朝阳，居家装修，中间楼层，户型全明！,2室2厅,39637,367,92.59,低楼层/共11层,南,平层/简装,2005,,雨花台,宁南,近1号线软件大道站
